// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\git\ForEachBenchmark\bin\Release\net8.0\d1b90193-774b-4c0a-8201-c1720ca17a45
// command took 5.22 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\git\ForEachBenchmark\bin\Release\net8.0\d1b90193-774b-4c0a-8201-c1720ca17a45
// command took 23.17 sec and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\git\ForEachBenchmark\bin\Release\net8.0\d1b90193-774b-4c0a-8201-c1720ca17a45
// command took 7.59 sec and exited with 0
// ***** Done, took 00:00:36 (36.21 sec)   *****
// Found 3 benchmarks:
//   BenchmarkExec.ExecuteForEach: DefaultJob
//   BenchmarkExec.ExecuteForEachAsyncExtension: DefaultJob
//   BenchmarkExec.ExecuteParallelForeach: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: BenchmarkExec.ExecuteForEach: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet d1b90193-774b-4c0a-8201-c1720ca17a45.dll --anonymousPipes 1404 1412 --benchmarkName ForEachBenchmark.BenchmarkExec.ExecuteForEach --job Default --benchmarkId 0 in C:\git\ForEachBenchmark\bin\Release\net8.0\d1b90193-774b-4c0a-8201-c1720ca17a45\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.1 (8.0.123.58001), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 623600.00 ns, 623.6000 us/op
WorkloadJitting  1: 1 op, 8991600.00 ns, 8.9916 ms/op

OverheadJitting  2: 16 op, 584100.00 ns, 36.5063 us/op
WorkloadJitting  2: 16 op, 4361500.00 ns, 272.5938 us/op

WorkloadPilot    1: 16 op, 3429600.00 ns, 214.3500 us/op
WorkloadPilot    2: 32 op, 7049700.00 ns, 220.3031 us/op
WorkloadPilot    3: 64 op, 14980000.00 ns, 234.0625 us/op
WorkloadPilot    4: 128 op, 27492500.00 ns, 214.7852 us/op
WorkloadPilot    5: 256 op, 53588900.00 ns, 209.3316 us/op
WorkloadPilot    6: 512 op, 114842700.00 ns, 224.3021 us/op
WorkloadPilot    7: 1024 op, 227151000.00 ns, 221.8271 us/op
WorkloadPilot    8: 2048 op, 329761400.00 ns, 161.0163 us/op
WorkloadPilot    9: 4096 op, 544269300.00 ns, 132.8782 us/op

OverheadWarmup   1: 4096 op, 24000.00 ns, 5.8594 ns/op
OverheadWarmup   2: 4096 op, 23800.00 ns, 5.8105 ns/op
OverheadWarmup   3: 4096 op, 24600.00 ns, 6.0059 ns/op
OverheadWarmup   4: 4096 op, 22600.00 ns, 5.5176 ns/op
OverheadWarmup   5: 4096 op, 30900.00 ns, 7.5439 ns/op
OverheadWarmup   6: 4096 op, 24800.00 ns, 6.0547 ns/op

OverheadActual   1: 4096 op, 22400.00 ns, 5.4688 ns/op
OverheadActual   2: 4096 op, 25400.00 ns, 6.2012 ns/op
OverheadActual   3: 4096 op, 22900.00 ns, 5.5908 ns/op
OverheadActual   4: 4096 op, 27400.00 ns, 6.6895 ns/op
OverheadActual   5: 4096 op, 27100.00 ns, 6.6162 ns/op
OverheadActual   6: 4096 op, 23200.00 ns, 5.6641 ns/op
OverheadActual   7: 4096 op, 17500.00 ns, 4.2725 ns/op
OverheadActual   8: 4096 op, 28700.00 ns, 7.0068 ns/op
OverheadActual   9: 4096 op, 25400.00 ns, 6.2012 ns/op
OverheadActual  10: 4096 op, 17500.00 ns, 4.2725 ns/op
OverheadActual  11: 4096 op, 28300.00 ns, 6.9092 ns/op
OverheadActual  12: 4096 op, 29000.00 ns, 7.0801 ns/op
OverheadActual  13: 4096 op, 23300.00 ns, 5.6885 ns/op
OverheadActual  14: 4096 op, 29700.00 ns, 7.2510 ns/op
OverheadActual  15: 4096 op, 22700.00 ns, 5.5420 ns/op
OverheadActual  16: 4096 op, 17300.00 ns, 4.2236 ns/op
OverheadActual  17: 4096 op, 23400.00 ns, 5.7129 ns/op
OverheadActual  18: 4096 op, 23100.00 ns, 5.6396 ns/op
OverheadActual  19: 4096 op, 17500.00 ns, 4.2725 ns/op
OverheadActual  20: 4096 op, 41500.00 ns, 10.1318 ns/op

WorkloadWarmup   1: 4096 op, 407784500.00 ns, 99.5568 us/op
WorkloadWarmup   2: 4096 op, 347164800.00 ns, 84.7570 us/op
WorkloadWarmup   3: 4096 op, 320237500.00 ns, 78.1830 us/op
WorkloadWarmup   4: 4096 op, 299609600.00 ns, 73.1469 us/op
WorkloadWarmup   5: 4096 op, 288097700.00 ns, 70.3364 us/op
WorkloadWarmup   6: 4096 op, 273666100.00 ns, 66.8130 us/op
WorkloadWarmup   7: 4096 op, 267400400.00 ns, 65.2833 us/op
WorkloadWarmup   8: 4096 op, 280561600.00 ns, 68.4965 us/op
WorkloadWarmup   9: 4096 op, 285027600.00 ns, 69.5868 us/op
WorkloadWarmup  10: 4096 op, 257802100.00 ns, 62.9400 us/op
WorkloadWarmup  11: 4096 op, 293499500.00 ns, 71.6552 us/op
WorkloadWarmup  12: 4096 op, 268022300.00 ns, 65.4351 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 248270000.00 ns, 60.6128 us/op
WorkloadActual   2: 4096 op, 275533600.00 ns, 67.2689 us/op
WorkloadActual   3: 4096 op, 272343800.00 ns, 66.4902 us/op
WorkloadActual   4: 4096 op, 278888300.00 ns, 68.0880 us/op
WorkloadActual   5: 4096 op, 256496000.00 ns, 62.6211 us/op
WorkloadActual   6: 4096 op, 269520300.00 ns, 65.8009 us/op
WorkloadActual   7: 4096 op, 272857000.00 ns, 66.6155 us/op
WorkloadActual   8: 4096 op, 265603000.00 ns, 64.8445 us/op
WorkloadActual   9: 4096 op, 284634300.00 ns, 69.4908 us/op
WorkloadActual  10: 4096 op, 332633100.00 ns, 81.2093 us/op
WorkloadActual  11: 4096 op, 313728200.00 ns, 76.5938 us/op
WorkloadActual  12: 4096 op, 305388200.00 ns, 74.5577 us/op
WorkloadActual  13: 4096 op, 291290400.00 ns, 71.1158 us/op
WorkloadActual  14: 4096 op, 285238100.00 ns, 69.6382 us/op
